GEO.id,GEO.id2,GEO.display-label,HC03_EST_VC02
Id,Id2,Geography,Mean income (dollars); Estimate; All households
0500000US36091,36091,"Saratoga County, New York",101614
0500000US36093,36093,"Schenectady County, New York",79058
0500000US36101,36101,"Steuben County, New York",66737
0500000US36103,36103,"Suffolk County, New York",121184
0500000US36105,36105,"Sullivan County, New York",73438
0500000US36109,36109,"Tompkins County, New York",77758
0500000US36111,36111,"Ulster County, New York",82278
0500000US36113,36113,"Warren County, New York",78034
0500000US36117,36117,"Wayne County, New York",63599
0500000US36119,36119,"Westchester County, New York",146902
0500000US37001,37001,"Alamance County, North Carolina",66251
0500000US37019,37019,"Brunswick County, North Carolina",71066
0500000US37021,37021,"Buncombe County, North Carolina",70960
0500000US37023,37023,"Burke County, North Carolina",57676
0500000US37025,37025,"Cabarrus County, North Carolina",84573
0500000US37027,37027,"Caldwell County, North Carolina",55831
0500000US37031,37031,"Carteret County, North Carolina",74309
0500000US37035,37035,"Catawba County, North Carolina",72992
0500000US37037,37037,"Chatham County, North Carolina",86736
0500000US37045,37045,"Cleveland County, North Carolina",49048
0500000US37049,37049,"Craven County, North Carolina",69173
0500000US37051,37051,"Cumberland County, North Carolina",56884
0500000US37057,37057,"Davidson County, North Carolina",62035
0500000US37063,37063,"Durham County, North Carolina",84223
0500000US37067,37067,"Forsyth County, North Carolina",74958
0500000US37069,37069,"Franklin County, North Carolina",69795
0500000US37071,37071,"Gaston County, North Carolina",65136
0500000US37081,37081,"Guilford County, North Carolina",72571
0500000US37085,37085,"Harnett County, North Carolina",62533
0500000US37089,37089,"Henderson County, North Carolina",66529
0500000US37097,37097,"Iredell County, North Carolina",80943
0500000US37101,37101,"Johnston County, North Carolina",76007
0500000US37109,37109,"Lincoln County, North Carolina",69025
0500000US37119,37119,"Mecklenburg County, North Carolina",95212
0500000US37125,37125,"Moore County, North Carolina",90605
0500000US37127,37127,"Nash County, North Carolina",62249
0500000US37129,37129,"New Hanover County, North Carolina",79577
0500000US37133,37133,"Onslow County, North Carolina",61862
0500000US37135,37135,"Orange County, North Carolina",105282
0500000US37147,37147,"Pitt County, North Carolina",66154
0500000US37151,37151,"Randolph County, North Carolina",56498
0500000US37155,37155,"Robeson County, North Carolina",49934
0500000US37157,37157,"Rockingham County, North Carolina",61072
0500000US37159,37159,"Rowan County, North Carolina",63559
0500000US37161,37161,"Rutherford County, North Carolina",56633
0500000US37171,37171,"Surry County, North Carolina",59994
0500000US37179,37179,"Union County, North Carolina",101898
0500000US37183,37183,"Wake County, North Carolina",100015
0500000US37191,37191,"Wayne County, North Carolina",64283
0500000US37193,37193,"Wilkes County, North Carolina",57822
0500000US37195,37195,"Wilson County, North Carolina",56773
0500000US38015,38015,"Burleigh County, North Dakota",82654
0500000US38017,38017,"Cass County, North Dakota",85005
0500000US38035,38035,"Grand Forks County, North Dakota",67327
0500000US38101,38101,"Ward County, North Dakota",79878
0500000US39003,39003,"Allen County, Ohio",61942
0500000US39007,39007,"Ashtabula County, Ohio",58095
0500000US39009,39009,"Athens County, Ohio",62256
0500000US39013,39013,"Belmont County, Ohio",70342
0500000US39017,39017,"Butler County, Ohio",80078
0500000US39023,39023,"Clark County, Ohio",62706
0500000US39025,39025,"Clermont County, Ohio",85710
0500000US39029,39029,"Columbiana County, Ohio",65617
0500000US39035,39035,"Cuyahoga County, Ohio",71149
0500000US39041,39041,"Delaware County, Ohio",129881
0500000US39043,39043,"Erie County, Ohio",75271
0500000US39045,39045,"Fairfield County, Ohio",81579
