GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC03_EST_VC02,HC05_EST_VC02,HC01_EST_VC06,HC01_EST_VC08,HC01_EST_VC15
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Male; Estimate; Population 18 to 24 years,Female; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Graduate or professional degree
0500000US40101,40101,"Muskogee County, Oklahoma",6901,3768,3133,284,45268,2703
0500000US40109,40109,"Oklahoma County, Oklahoma",70809,35998,34811,6580,514300,60459
0500000US40119,40119,"Payne County, Oklahoma",22204,11058,11146,2774,43023,6135
0500000US40125,40125,"Pottawatomie County, Oklahoma",7070,3417,3653,417,47954,3593
0500000US40131,40131,"Rogers County, Oklahoma",8226,4293,3933,282,61496,5366
0500000US40143,40143,"Tulsa County, Oklahoma",57277,28858,28419,5910,424920,44189
0500000US40145,40145,"Wagoner County, Oklahoma",5466,2720,2746,274,53868,4243
0500000US41003,41003,"Benton County, Oregon",20498,10688,9810,2415,55327,13835
0500000US41005,41005,"Clackamas County, Oregon",31826,16809,15017,2035,291445,41682
0500000US41017,41017,"Deschutes County, Oregon",12944,6401,6543,906,135342,15673
0500000US41019,41019,"Douglas County, Oregon",7628,4330,3298,432,80775,5182
0500000US41029,41029,"Jackson County, Oregon",18094,8985,9109,579,154281,15819
0500000US41033,41033,"Josephine County, Oregon",5405,2850,2555,0,64096,4691
0500000US41035,41035,"Klamath County, Oregon",5612,3434,2178,0,46898,2986
0500000US41039,41039,"Lane County, Oregon",47513,23817,23696,5410,257137,33023
0500000US41043,41043,"Linn County, Oregon",9194,4775,4419,175,87222,3891
0500000US41047,41047,"Marion County, Oregon",31116,16186,14930,1642,225382,16251
0500000US41051,41051,"Multnomah County, Oregon",65427,32426,33001,9893,587811,106495
0500000US41053,41053,"Polk County, Oregon",11609,5856,5753,1161,52409,6795
0500000US41059,41059,"Umatilla County, Oregon",7488,4393,3095,43,49992,3701
0500000US41067,41067,"Washington County, Oregon",47837,23712,24125,4963,404077,66653
0500000US41071,41071,"Yamhill County, Oregon",11085,6018,5067,695,70951,7415
0500000US42001,42001,"Adams County, Pennsylvania",9737,4917,4820,744,72118,6556
0500000US42003,42003,"Allegheny County, Pennsylvania",108641,54173,54468,22949,884094,155433
0500000US42005,42005,"Armstrong County, Pennsylvania",4846,2506,2340,430,48197,2289
0500000US42007,42007,"Beaver County, Pennsylvania",12464,6424,6040,1508,121242,9722
0500000US42011,42011,"Berks County, Pennsylvania",40777,20648,20129,4058,282963,23448
0500000US42013,42013,"Blair County, Pennsylvania",9301,4865,4436,484,88809,5433
0500000US42017,42017,"Bucks County, Pennsylvania",49600,25920,23680,9582,448774,77022
0500000US42019,42019,"Butler County, Pennsylvania",16469,8222,8247,1928,132893,16542
0500000US42021,42021,"Cambria County, Pennsylvania",12460,6296,6164,576,95164,7172
0500000US42025,42025,"Carbon County, Pennsylvania",4219,2253,1966,184,47267,2175
0500000US42027,42027,"Centre County, Pennsylvania",39968,21586,18382,4794,98303,20741
0500000US42029,42029,"Chester County, Pennsylvania",46480,23336,23144,9874,353899,75552
0500000US42033,42033,"Clearfield County, Pennsylvania",6013,3377,2636,385,59076,3117
0500000US42037,42037,"Columbia County, Pennsylvania",10129,4530,5599,1079,43858,4559
0500000US42039,42039,"Crawford County, Pennsylvania",7884,3883,4001,411,60553,4106
0500000US42041,42041,"Cumberland County, Pennsylvania",23818,12291,11527,2608,175140,28169
0500000US42043,42043,"Dauphin County, Pennsylvania",22596,11457,11139,3443,191345,22539
0500000US42045,42045,"Delaware County, Pennsylvania",56748,28149,28599,6563,383800,68063
0500000US42049,42049,"Erie County, Pennsylvania",27789,14249,13540,3770,187649,18163
0500000US42051,42051,"Fayette County, Pennsylvania",9627,4929,4698,1131,96474,4788
0500000US42055,42055,"Franklin County, Pennsylvania",11296,5498,5798,1166,108529,11377
0500000US42063,42063,"Indiana County, Pennsylvania",14411,6662,7749,817,55222,5426
0500000US42069,42069,"Lackawanna County, Pennsylvania",19521,9722,9799,2076,148344,15848
0500000US42071,42071,"Lancaster County, Pennsylvania",49103,24796,24307,5629,364909,38926
0500000US42073,42073,"Lawrence County, Pennsylvania",7043,3698,3345,439,62545,4541
0500000US42075,42075,"Lebanon County, Pennsylvania",11970,6281,5689,468,95764,7424
0500000US42077,42077,"Lehigh County, Pennsylvania",34255,16641,17614,3758,248992,28956
0500000US42079,42079,"Luzerne County, Pennsylvania",27953,14426,13527,2634,227239,19375
0500000US42081,42081,"Lycoming County, Pennsylvania",10180,4967,5213,502,80315,6319
0500000US42085,42085,"Mercer County, Pennsylvania",11067,5828,5239,1034,79064,6282
0500000US42089,42089,"Monroe County, Pennsylvania",17725,8903,8822,1440,116911,10858
0500000US42091,42091,"Montgomery County, Pennsylvania",67097,33368,33729,14137,580456,128524
0500000US42095,42095,"Northampton County, Pennsylvania",29938,15600,14338,3085,212826,23498
0500000US42097,42097,"Northumberland County, Pennsylvania",7084,4039,3045,578,67075,2839
0500000US42101,42101,"Philadelphia County, Pennsylvania",160872,79031,81841,22833,1075853,128117
0500000US42107,42107,"Schuylkill County, Pennsylvania",10175,5575,4600,712,104560,4950
0500000US42111,42111,"Somerset County, Pennsylvania",5303,3094,2209,442,55223,2467
0500000US42125,42125,"Washington County, Pennsylvania",18016,9129,8887,1621,148873,16236
0500000US42129,42129,"Westmoreland County, Pennsylvania",26567,13925,12642,3312,261007,28321
0500000US42133,42133,"York County, Pennsylvania",36444,18704,17740,4732,310781,27545
0500000US44003,44003,"Kent County, Rhode Island",12041,6369,5672,1802,120853,14721
0500000US44005,44005,"Newport County, Rhode Island",8525,4880,3645,1947,60470,11710
0500000US44007,44007,"Providence County, Rhode Island",70295,34210,36085,6423,435612,47369
0500000US44009,44009,"Washington County, Rhode Island",19422,9222,10200,1910,85775,15355
0500000US45003,45003,"Aiken County, South Carolina",13220,6382,6838,718,118618,11219
0500000US45007,45007,"Anderson County, South Carolina",16662,8180,8482,975,136504,9453
0500000US45013,45013,"Beaufort County, South Carolina",18641,10628,8013,1573,132688,23293
0500000US45015,45015,"Berkeley County, South Carolina",19890,12019,7871,1385,145644,12571
0500000US45019,45019,"Charleston County, South Carolina",35992,18589,17403,6331,285858,44276
0500000US45031,45031,"Darlington County, South Carolina",5250,2346,2904,297,46786,3744
0500000US45035,45035,"Dorchester County, South Carolina",11959,6139,5820,674,105822,10956
0500000US45041,45041,"Florence County, South Carolina",11982,5891,6091,639,93308,8409
0500000US45045,45045,"Greenville County, South Carolina",44246,22157,22089,5478,344948,46732
0500000US45047,45047,"Greenwood County, South Carolina",6696,3101,3595,656,48625,4830
